repoName,branch,javaVersion,style,buildTool,buildAction,skip,skipReason
ArielCabib/rust-gradle-plugin,master,8,,gradlew,,true,Build uses Gradle 2.x
AsamK/signal-cli,master,17,,gradlew,,,
AskNowQA/AutoSPARQL,master,8,,maven,,,
Aspsine/SwipeToLoadLayout,master,8,,gradlew,,true,Build uses Gradle 2.x
AstinCHOI/Akamai-AuthToken-Java,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
AstraZeneca-NGS/VarDictJava,master,8,,gradlew,,,
AsyncHttpClient/async-http-client,master,8,,maven,,,
Athou/commafeed,master,8,,mvnw,,,
Atmosphere/atmosphere,atmosphere-2.7.x,8,,maven,,,
Atmosphere/nettosphere,master,8,,maven,,,
Audiveris/audiveris,master,11,,gradlew,,,
AurityLab/graphql-kotlin-toolkit,master,8,,gradlew,,,
AuthMe/AuthMeReloaded,master,8,,maven,,,
AutoScout24/gradle-monkey-plugin,master,8,,gradlew,,true,Build uses Gradle 3.x
Averroes/RText4SikuliX,master,8,,maven,,,
Azure/autorest-clientruntime-for-java,master,8,,maven,,,
Azure/autorest.azure-functions-java,main,8,,maven,,,
Azure/autorest.java,main,8,,maven,,,
Azure/azure-acr-plugin,master,8,,maven,,,
Azure/azure-batch-sdk-for-java,master,8,,maven,,,
Azure/azure-cosmos-cassandra-extensions,master,8,,maven,,,
Azure/azure-cosmosdb-java,master,8,,maven,,,
Azure/azure-data-lake-store-java,master,8,,maven,,,
Azure/azure-documentdb-changefeedprocessor-java,master,8,,maven,,,
Azure/azure-documentdb-hadoop,master,8,,maven,,,
Azure/azure-documentdb-java,master,8,,maven,,,
Azure/azure-event-hubs-java,dev,8,,maven,,,
Azure/azure-functions-java-core-library,dev,8,,maven,,,
Azure/azure-functions-java-library,dev,8,,maven,,,
Azure/azure-functions-java-worker,dev,8,,maven,,,
Azure/azure-internet-analyzer-java,main,8,,maven,,,
Azure/azure-iot-sdk-java,main,8,,maven,,,
Azure/azure-jdbc-msi-extension,main,8,,maven,,,
Azure/azure-kusto-ignition,main,8,,maven,,,
Azure/azure-kusto-java,master,8,,maven,,,
Azure/azure-kusto-utils,main,8,,maven,,,
Azure/azure-libraries-for-java,master,8,,maven,,,
Azure/azure-microprofile,master,8,,maven,,,
Azure/azure-mobile-engagement-app-android,master,8,,gradlew,,true,Build uses Gradle 2.x
Azure/azure-notificationhubs-android,main,8,,gradlew,,,
Azure/azure-pixel-tracker-java,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
Azure/azure-relay-java,master,8,,maven,,,
Azure/azure-sdk-for-android,main,8,,gradlew,,,
Azure/azure-sdk-for-java,main,8,,maven,,,
Azure/azure-service-bus-java,master1.0,8,,maven,,,
Azure/azure-servicebus-jms,master,8,,maven,,,
Azure/azure-servicebus-jms-samples,main,8,,maven,,,
Azure/azure-spring-initializr,main,11,,maven,,,
Azure/azure-storage-android,master,8,,gradlew,,true,Build uses Gradle 3.x
Azure/batch-jenkins,master,8,,maven,,,
Azure/dapr-java-workshop,main,8,,maven,,,
Azure/data-lake-adlstool,master,8,,maven,,,
Azure/iotc-android-sample,master,8,,gradlew,,,
Azure/kafka-connect-cosmosdb-graph,master,8,,maven,,,
Azure/kafka-sink-azure-kusto,master,8,,maven,,,
Azure/maven-bundler,master,8,,maven,,,
Azure/qpid-proton-j-extensions,master,8,,maven,,,
AzureAD/azure-activedirectory-library-for-android,dev,8,,gradlew,,,
AzureAD/java-flavors-plugin,main,8,,gradlew,,,
AzureAD/microsoft-authentication-library-common-for-android,dev,8,,gradlew,,,
AzureAD/microsoft-authentication-library-for-android,dev,8,,gradlew,,,
B3Partners/brmo,master,11,,maven,,,
B3Partners/tailormap,master,11,,maven,,,
Backblaze/b2-sdk-java,master,8,,gradlew,,,
Banno/Gordon,main,11,,gradlew,,,
BaronZ88/MinimalistWeather,master,8,,gradlew,,,
BaseXdb/basex,master,8,,maven,,,
Bbbzhao/WMS,master,8,,maven,,,
Bearded-Hen/Android-Bootstrap,master,8,,gradlew,,true,Build uses Gradle 3.x
BelooS/ChipsLayoutManager,master,8,,gradlew,,true,Build uses Gradle 3.x
BentoBoxWorld/BentoBox,develop,8,,maven,,,
Bestoa/shadowsocks-vertx,master,8,,gradlew,,true,Build uses Gradle 2.x
BetiKogut/myGadgetbridgeMQTT,master,8,,gradlew,,,
BiBiServ/bibiserv,master,8,,maven,,,
Bigkoo/Android-PickerView,master,8,,gradlew,,,
BiglySoftware/BiglyBT,master,8,,maven,,,
Bilibili/DanmakuFlameMaster,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
Bilibili/MagicaSakura,master,8,,gradlew,,,
Bin-mario/xiaoyaoji,master,8,,maven,,,
BingAds/BingAds-Java-SDK,main,8,,maven,,,
Bingoliallen/trackerPlugin,main,8,,gradlew,,,
BioPAX/validator,master,8,,maven,,,
Bisnode/opa-gradle-plugin,master,8,,gradlew,,,
Blackcbears/DDDBook,master,8,,maven,,,
Blankj/AndroidUtilCode,master,8,,gradlew,,,
BlueBoxWare/LibGDXGradlePlugin,master,8,,gradlew,,,
BlueBoxWare/TocMe,master,8,,gradle,,,
Bobkim/publish-plugin,master,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
BoltsFramework/Bolts-Android,master,8,,gradlew,,,
Boozilla/houston-gradle,master,8,,gradle,,,
BorderTech/java-config,master,8,,maven,,,
BorderTech/sample-app,master,8,,maven,,,
BorderTech/wcomponents,georgie,8,,maven,,,
Borewit/listFix,main,17,,gradlew,,,
Borisvl/bigbash,master,8,,maven,,,
BorzdeG/ru.itbasis.gradle.plugins.docker-spring-boot-plugin,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
BorzdeG/ru.itbasis.gradle.plugins.java-module,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
BorzdeG/ru.itbasis.gradle.plugins.java-plugin,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
BorzdeG/ru.itbasis.gradle.plugins.postgresql-embedded-plugin,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
BrantApps/gradle-amazon-app-store-publisher,master,8,,gradlew,,,
BreadMoirai/github-release-gradle-plugin,master,8,,gradlew,,,
BroadleafCommerce/BroadleafCommerce,develop-6.2.x,8,,maven,,,
Brownshome/game-modding,master,8,,gradle,,,
BrynCooke/babel-gradle,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
BuildCraft/BuildCraft,8.0.x-1.12.2,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
Bukkit/Bukkit,master,8,,maven,,,
ButterCam/sisyphus,master,8,,gradlew,,,
Buxiaohui/FastClick,main,8,,gradlew,,,
