Netflix/ribbon,master,8,,gradlew,,,
Netflix/servo,master,8,,gradlew,,,
Netflix/titus-control-plane,master,8,,gradlew,,,
Netflix/zeno,master,8,,gradlew,,true,Build uses Gradle 2.x
Netflix/zuul,master,8,,gradlew,,,
openmrs/openmrs-core,master,8,,maven,,,
openrewrite/recipe-examples,main,17,,gradlew,,,
openrewrite/rewrite,main,17,,gradlew,,,
openrewrite/rewrite-cloud-suitability-analyzer,main,17,,gradlew,,,
openrewrite/rewrite-concourse,main,17,,gradlew,,,
openrewrite/rewrite-github-actions,main,17,,gradlew,,,
openrewrite/rewrite-gradle-plugin,main,17,,gradlew,,,
openrewrite/rewrite-java-annotproc,main,17,,gradlew,,,
openrewrite/rewrite-java-security,main,17,,gradlew,,,
openrewrite/rewrite-jhipster,main,17,,gradlew,,,
openrewrite/rewrite-kubernetes,main,17,,gradlew,,,
openrewrite/rewrite-logging-frameworks,main,17,,gradlew,,,
openrewrite/rewrite-maven-plugin,main,17,,maven,,,
openrewrite/rewrite-micronaut,main,17,,gradlew,,,
openrewrite/rewrite-migrate-java,main,17,,gradlew,,,
openrewrite/rewrite-quarkus,main,17,,gradlew,,,
openrewrite/rewrite-recipe-bom,main,17,,gradlew,,,
openrewrite/rewrite-recipe-markdown-generator,main,17,,gradlew,,,
openrewrite/rewrite-recommendations,main,17,,gradlew,,,
openrewrite/rewrite-spring,main,17,,gradlew,,,
openrewrite/rewrite-template-generator,main,17,,gradlew,,,
openrewrite/rewrite-terraform,main,17,,gradlew,,,
openrewrite/rewrite-testing-frameworks,main,17,,gradlew,,,
openrewrite/sample-maven-dependencies,main,17,,maven,,,
spring-projects/spring-petclinic,main,17,,mvnw,,,
